Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
7 0 -5.7961454 0.0 -22.5116 9.65582 -20.219 159.059 -1144.85 161.512 -1148.65 0.0 161.512 -1148.65 49.6707 -22.5116 -959.979 16.4101 16.4101
7 1 -5.7961454 0.0 -22.5116 9.65582 -20.219 159.059 -1144.85 161.512 -1148.65 0.0 161.512 -1148.65 49.6707 -22.5116 -959.979 16.4101 16.4101
7 2 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 3 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 4 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 5 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
7 6 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
7 7 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
8 0 -5.926347 0.0 -26.1715 9.65014 -20.3578 159.059 -1144.85 160.239 -1143.3 0.0 160.239 -1143.3 49.7129 -26.1715 -959.51965 13.8709 13.8709
8 1 -5.926347 0.0 -26.1715 9.65014 -20.3578 159.059 -1144.85 160.239 -1143.3 0.0 160.239 -1143.3 49.7129 -26.1715 -959.51965 13.8709 13.8709
8 2 -5.8972483 0.0 -25.7875 9.65231 -20.3541 159.059 -1144.85 160.303 -1143.51 0.0 160.303 -1143.51 49.5732 -25.7875 -959.4214 13.9891 13.9891
8 3 -5.8972483 0.0 -25.7875 9.65231 -20.3541 159.059 -1144.85 160.303 -1143.51 0.0 160.303 -1143.51 49.5732 -25.7875 -959.4214 13.9891 13.9891
8 4 -5.8972483 0.0 -25.7875 9.65231 -20.3541 159.059 -1144.85 160.303 -1143.51 0.0 160.303 -1143.51 49.5732 -25.7875 -959.4214 13.9891 13.9891
8 5 -5.8972483 0.0 -25.7875 9.65231 -20.3541 159.059 -1144.85 160.303 -1143.51 0.0 160.303 -1143.51 49.5732 -25.7875 -959.4214 13.9891 13.9891
8 6 -5.8530416 0.0 -25.3508 9.65647 -20.3312 159.059 -1144.85 160.372 -1143.54 0.0 160.372 -1143.54 49.3801 -25.3508 -959.13873 14.3274 14.3274
8 7 -5.8530416 0.0 -25.3508 9.65647 -20.3312 159.059 -1144.85 160.372 -1143.54 0.0 160.372 -1143.54 49.3801 -25.3508 -959.13873 14.3274 14.3274
9 0 -5.5589304 0.0 -17.9923 9.66901 -20.1247 159.059 -1144.85 160.506 -1150.09 0.0 160.506 -1150.09 48.2724 -17.9923 -959.30383 15.1439 15.1439
10 0 -6.050389 0.0 -26.3597 9.70757 -19.6681 159.059 -1144.85 160.163 -1144.14 0.0 160.163 -1144.14 51.5461 -26.3597 -958.79065 13.0086 13.0086
10 1 -6.050389 0.0 -26.3597 9.70757 -19.6681 159.059 -1144.85 160.163 -1144.14 0.0 160.163 -1144.14 51.5461 -26.3597 -958.79065 13.0086 13.0086
10 2 -6.0494986 0.0 -26.3955 9.70735 -19.6683 159.059 -1144.85 160.169 -1144.08 0.0 160.169 -1144.08 51.5305 -26.3955 -958.77594 13.0087 13.0087
10 3 -6.0494986 0.0 -26.3955 9.70735 -19.6683 159.059 -1144.85 160.169 -1144.08 0.0 160.169 -1144.08 51.5305 -26.3955 -958.77594 13.0087 13.0087
10 4 -6.0494986 0.0 -26.3955 9.70735 -19.6683 159.059 -1144.85 160.169 -1144.08 0.0 160.169 -1144.08 51.5305 -26.3955 -958.77594 13.0087 13.0087
10 5 -6.0494986 0.0 -26.3955 9.70735 -19.6683 159.059 -1144.85 160.169 -1144.08 0.0 160.169 -1144.08 51.5305 -26.3955 -958.77594 13.0087 13.0087
10 6 -6.0494986 0.0 -26.3955 9.70735 -19.6683 159.059 -1144.85 160.169 -1144.08 0.0 160.169 -1144.08 51.5305 -26.3955 -958.77594 13.0087 13.0087
10 7 -6.049821 0.0 -26.3474 9.70739 -19.6681 159.059 -1144.85 160.163 -1144.15 0.0 160.163 -1144.15 51.5588 -26.3474 -958.77563 13.0086 13.0086
11 0 -5.4474425 0.0 -18.1015 9.58844 -19.4005 159.059 -1144.85 161.166 -1148.52 0.0 161.166 -1148.52 47.1042 -18.1015 -958.3513 17.1317 17.1317
11 1 -5.4474425 0.0 -18.1015 9.58844 -19.4005 159.059 -1144.85 161.166 -1148.52 0.0 161.166 -1148.52 47.1042 -18.1015 -958.3513 17.1317 17.1317
11 2 -5.5397944 0.0 -19.9928 9.58842 -19.4034 159.059 -1144.85 160.326 -1145.81 0.0 160.326 -1145.81 47.2631 -19.9928 -958.2138 15.1883 15.1883
11 3 -5.5397944 0.0 -19.9928 9.58842 -19.4034 159.059 -1144.85 160.326 -1145.81 0.0 160.326 -1145.81 47.2631 -19.9928 -958.2138 15.1883 15.1883
11 4 -5.5397944 0.0 -19.9928 9.58842 -19.4034 159.059 -1144.85 160.326 -1145.81 0.0 160.326 -1145.81 47.2631 -19.9928 -958.2138 15.1883 15.1883
